state,total_veterans,vets_using_va_healthcare,medical_expenditure_thousands
United States,19465697.947514027,6108277,86807908.36782679
Alabama,362900.8890211859,115440,1445770.3749218388
Alaska,69383.63422359509,21685,417577.5266363251
Arizona,504451.4072379092,163613,2308160.7198416037
Arkansas,202517.3379549587,83510,1208500.4469638197
California,1659400.6862932122,459981,7851926.239445915
Colorado,392115.53873604594,111754,1521325.7886137166
Connecticut,167454.4912251368,47687,800132.7349902487
Delaware,70339.574967663,17330,235135.89872118988
District of Columbia,28928.30529966,7677,278652.61306236696
Florida,1517442.4848555892,532055,6933054.051733887
Georgia,696190.6826714509,225780,2584768.9215389937
Hawaii,114521.02982692311,29121,422445.28553206386
Idaho,124302.42393027648,47431,606594.4071376165
Illinois,605841.7399585404,169824,2753858.6105157924
Indiana,411140.538365597,126715,1688406.072349753
Iowa,199339.40882592378,68060,882815.1895058564
Kansas,196821.2292208884,60542,843562.9421637807
Kentucky,288894.3665783462,100123,1330300.1132395198
Louisiana,287747.0290993973,89805,1427835.5938909408
Maine,109567.08175298311,41380,533397.095673047
Maryland,384661.8180073463,85053,1367189.7215430941
Massachusetts,314818.4961263971,82622,1565509.6555955468
Michigan,567919.0187080306,156673,2060842.557088102
Minnesota,312843.11631894467,118665,1673068.531856515
Mississippi,185462.2733162805,67092,969665.6146857451
Missouri,421489.6234856883,142259,2023901.3485957298
Montana,89659.81765282169,37179,549987.217339909
Nebraska,126950.53432522922,47754,649939.2767285857
Nevada,221610.3298869738,78870,1251843.5675235204
New Hampshire,99248.8970661879,30800,454931.17460882926
New Jersey,339518.9454193226,73682,954587.3570313405
New Mexico,151278.528246861,53264,809545.5774891435
New York,737764.971040223,208671,3424558.90783218
North Carolina,698182.930860024,247689,3254412.548205288
North Dakota,53608.265768954414,20368,263214.3234009895
Ohio,741602.0405427341,237505,3334109.5886158654
Oklahoma,295303.5226026701,100742,1302412.5364828464
Oregon,295278.5007891031,101786,1644108.4554814373
Pennsylvania,791913.8150674535,224252,2898186.685173987
Rhode Island,62151.352811456,18943,306339.5688286429
South Carolina,397648.7928842552,141027,1650393.352097172
South Dakota,65013.731361782804,29835,474762.2792232261
Tennessee,456196.0888536678,154526,2160246.0647136527
Texas,1573737.4354460728,519610,6855516.91819682
Utah,134230.4239249766,37254,629323.6172169781
Vermont,42187.3765110702,14014,193588.89249555196
Virginia,721894.0910172279,169498,2203655.292591572
Washington,554533.1431730244,139215,1909011.5288920521
West Virginia,138738.9663405275,55009,946064.1475706361
Wisconsin,352071.99284944887,121267,1768665.394382476
Wyoming,47660.3658978255,18873,347056.3176166426
