state,total_pop,diabetes,prediabetes,cardio_disease,hypertension,overweight_obese,severely_obese,asthma,mental_illness,serious_mental_illness,smoker,alcohol_abuse,drug_abuse,exercise,no_doctor,self_report_low_health
United States,319249300.0,0.121,0.021,0.075,0.326,0.654,0.05,0.091,0.20800000000000002,0.054000000000000006,0.16399999999999998,0.11,0.068,0.774,0.201,0.147
Alabama,4767100.0,0.16699999999999998,0.018000000000000002,0.10099999999999999,0.425,0.7020000000000001,0.067,0.109,0.212,0.062,0.209,0.09300000000000001,0.055999999999999994,0.715,0.166,0.21100000000000002
Alaska,701700.0,0.09,0.028999999999999998,0.061,0.32799999999999996,0.667,0.048,0.084,0.222,0.057999999999999996,0.21,0.113,0.079,0.7979999999999999,0.306,0.129
Arizona,7098000.0,0.121,0.025,0.075,0.325,0.648,0.045,0.098,0.239,0.064,0.156,0.11900000000000001,0.078,0.78,0.23800000000000002,0.157
Arkansas,2922500.0,0.156,0.012,0.11599999999999999,0.41,0.705,0.063,0.096,0.226,0.073,0.223,0.091,0.078,0.696,0.179,0.22
California,38642700.0,0.099,0.032,0.057,0.278,0.609,0.039,0.079,0.205,0.046,0.113,0.128,0.067,0.8029999999999999,0.235,0.146
Colorado,5611800.0,0.08800000000000001,0.023,0.055999999999999994,0.258,0.5870000000000001,0.032,0.09300000000000001,0.23199999999999998,0.059000000000000004,0.146,0.133,0.09,0.836,0.23600000000000002,0.11
Connecticut,3453300.0,0.10800000000000001,0.017,0.069,0.309,0.632,0.042,0.107,0.188,0.048,0.127,0.122,0.067,0.8,0.127,0.11699999999999999
Delaware,940300.0,0.139,0.017,0.083,0.364,0.685,0.062,0.106,0.205,0.054000000000000006,0.17,0.10800000000000001,0.057999999999999996,0.746,0.158,0.154
District of Columbia,671300.0,0.091,0.028999999999999998,0.049,0.272,0.539,0.036000000000000004,0.094,0.23,0.05,0.145,0.17800000000000002,0.09699999999999999,0.8340000000000001,0.179,0.10400000000000001
Florida,20992000.0,0.13,0.022000000000000002,0.09,0.335,0.6409999999999999,0.039,0.075,0.175,0.051,0.161,0.096,0.075,0.7440000000000001,0.243,0.153
Georgia,10294000.0,0.141,0.018000000000000002,0.087,0.348,0.653,0.055999999999999994,0.084,0.175,0.048,0.175,0.08,0.053,0.746,0.20600000000000002,0.16899999999999998
Hawaii,1343000.0,0.111,0.07,0.048,0.307,0.588,0.036000000000000004,0.098,0.179,0.044000000000000004,0.128,0.10300000000000001,0.059000000000000004,0.816,0.129,0.11800000000000001
Idaho,1750900.0,0.1,0.01,0.07400000000000001,0.306,0.659,0.044000000000000004,0.09,0.249,0.064,0.14300000000000002,0.109,0.069,0.794,0.23,0.132
Illinois,12362300.0,0.102,0.024,0.063,0.322,0.6579999999999999,0.042,0.08199999999999999,0.207,0.054000000000000006,0.155,0.115,0.077,0.77,0.195,0.13
Iowa,3060200.0,0.114,0.013000000000000001,0.073,0.318,0.701,0.064,0.09300000000000001,0.21,0.059000000000000004,0.171,0.105,0.067,0.7340000000000001,0.157,0.13
Indiana,6511800.0,0.139,0.017,0.086,0.348,0.68,0.067,0.1,0.218,0.068,0.218,0.10099999999999999,0.067,0.765,0.175,0.171
Kansas,2811200.0,0.12300000000000001,0.016,0.076,0.335,0.672,0.057,0.091,0.26,0.067,0.174,0.135,0.07,0.785,0.18899999999999997,0.135
Kentucky,4319300.0,0.147,0.025,0.10300000000000001,0.409,0.6779999999999999,0.081,0.107,0.21899999999999997,0.064,0.24600000000000002,0.087,0.06,0.6970000000000001,0.177,0.22
Louisiana,4498600.0,0.16,0.021,0.096,0.397,0.7,0.067,0.09,0.212,0.055999999999999994,0.231,0.107,0.07200000000000001,0.708,0.168,0.19399999999999998
Maine,1302300.0,0.113,0.028999999999999998,0.085,0.36200000000000004,0.6509999999999999,0.046,0.11199999999999999,0.21600000000000003,0.06,0.17300000000000001,0.11699999999999999,0.07400000000000001,0.7879999999999999,0.114,0.126
Maryland,5875500.0,0.12,0.024,0.068,0.34299999999999997,0.662,0.046,0.094,0.17800000000000002,0.045,0.138,0.122,0.067,0.7959999999999999,0.127,0.12300000000000001
Massachusetts,6650800.0,0.091,0.013999999999999999,0.064,0.281,0.614,0.027999999999999997,0.115,0.214,0.053,0.13699999999999998,0.13,0.079,0.813,0.105,0.105
Michigan,9765600.0,0.133,0.019,0.084,0.35100000000000003,0.672,0.066,0.10800000000000001,0.223,0.055,0.193,0.113,0.079,0.7959999999999999,0.11699999999999999,0.151
Minnesota,5514800.0,0.1,0.017,0.066,0.287,0.649,0.046,0.073,0.23199999999999998,0.062,0.145,0.133,0.06,0.813,0.21,0.111
Mississippi,2867100.0,0.172,0.018000000000000002,0.099,0.436,0.6990000000000001,0.07400000000000001,0.083,0.21100000000000002,0.055,0.222,0.096,0.075,0.69,0.187,0.218
Missouri,5939900.0,0.11900000000000001,0.02,0.081,0.309,0.6779999999999999,0.063,0.094,0.213,0.063,0.20800000000000002,0.11,0.068,0.7509999999999999,0.2,0.161
Montana,1039400.0,0.105,0.013999999999999999,0.073,0.295,0.622,0.036000000000000004,0.091,0.23399999999999999,0.062,0.172,0.121,0.08199999999999999,0.812,0.235,0.129
Nebraska,1873600.0,0.115,0.017,0.068,0.31,0.69,0.053,0.08199999999999999,0.23399999999999999,0.063,0.154,0.11900000000000001,0.07200000000000001,0.7809999999999999,0.17,0.115
Nevada,3029700.0,0.11800000000000001,0.022000000000000002,0.09,0.32799999999999996,0.657,0.05,0.10400000000000001,0.214,0.064,0.17600000000000002,0.109,0.087,0.759,0.289,0.179
New Hampshire,1314000.0,0.107,0.016,0.07200000000000001,0.315,0.649,0.05,0.132,0.237,0.051,0.157,0.12,0.07400000000000001,0.8059999999999999,0.1,0.121
New Jersey,8699400.0,0.10800000000000001,0.013000000000000001,0.069,0.33227450980392154,0.626,0.035,0.086,0.183,0.045,0.13699999999999998,0.11900000000000001,0.063,0.8,0.16899999999999998,0.11699999999999999
New Mexico,2041400.0,0.13,0.025,0.068,0.316,0.652,0.040999999999999995,0.105,0.212,0.053,0.175,0.125,0.07,0.784,0.253,0.14800000000000002
New York,18908300.0,0.107,0.013999999999999999,0.065,0.29600000000000004,0.613,0.037000000000000005,0.092,0.188,0.045,0.141,0.115,0.064,0.765,0.177,0.121
North Carolina,10139700.0,0.134,0.025,0.079,0.35100000000000003,0.669,0.05,0.092,0.198,0.054000000000000006,0.172,0.094,0.066,0.778,0.19699999999999998,0.147
North Dakota,731000.0,0.109,0.015,0.075,0.298,0.6940000000000001,0.048,0.086,0.20800000000000002,0.061,0.183,0.11699999999999999,0.066,0.762,0.27399999999999997,0.11599999999999999
Ohio,11351500.0,0.136,0.02,0.087,0.345,0.68,0.068,0.099,0.243,0.069,0.21100000000000002,0.113,0.06,0.7559999999999999,0.17800000000000002,0.159
Oklahoma,3826900.0,0.147,0.023,0.095,0.37799999999999995,0.706,0.076,0.096,0.256,0.068,0.201,0.107,0.079,0.7120000000000001,0.201,0.19
Oregon,4128900.0,0.10400000000000001,0.034,0.062,0.306,0.645,0.044000000000000004,0.109,0.273,0.07200000000000001,0.161,0.131,0.092,0.818,0.19899999999999998,0.139
Pennsylvania,12377600.0,0.121,0.019,0.086,0.33299999999999996,0.6709999999999999,0.053,0.10099999999999999,0.19699999999999998,0.051,0.187,0.10400000000000001,0.067,0.78,0.138,0.13699999999999998
Rhode Island,1017100.0,0.125,0.024,0.078,0.33,0.649,0.040999999999999995,0.12300000000000001,0.24100000000000002,0.055999999999999994,0.149,0.129,0.081,0.764,0.102,0.135
South Carolina,4984200.0,0.154,0.023,0.09300000000000001,0.38299999999999995,0.6809999999999999,0.065,0.092,0.217,0.06,0.188,0.09300000000000001,0.059000000000000004,0.742,0.185,0.172
South Dakota,851300.0,0.095,0.023,0.078,0.309,0.677,0.051,0.073,0.213,0.064,0.193,0.132,0.07,0.7859999999999999,0.18600000000000003,0.12300000000000001
Tennessee,6640900.0,0.149,0.017,0.08900000000000001,0.39299999999999996,0.6829999999999999,0.064,0.1,0.205,0.063,0.226,0.091,0.07,0.76,0.193,0.16899999999999998
Texas,28286200.0,0.133,0.017,0.067,0.317,0.6940000000000001,0.055,0.073,0.18,0.048,0.157,0.08199999999999999,0.055999999999999994,0.757,0.29100000000000004,0.159
Utah,3154100.0,0.09699999999999999,0.017,0.057,0.258,0.606,0.045,0.08900000000000001,0.297,0.076,0.08900000000000001,0.096,0.066,0.84,0.228,0.113
Vermont,598100.0,0.08900000000000001,0.017,0.075,0.302,0.626,0.04,0.11800000000000001,0.237,0.061,0.158,0.131,0.078,0.821,0.11900000000000001,0.114
Virginia,8185100.0,0.126,0.018000000000000002,0.071,0.336,0.6629999999999999,0.049,0.08900000000000001,0.205,0.049,0.16399999999999998,0.11,0.059000000000000004,0.794,0.20199999999999999,0.139
Washington,7423900.0,0.098,0.019,0.067,0.303,0.622,0.044000000000000004,0.105,0.255,0.064,0.135,0.14,0.085,0.83,0.20800000000000002,0.129
West Virginia,1739000.0,0.171,0.018000000000000002,0.11800000000000001,0.43799999999999994,0.7170000000000001,0.081,0.127,0.261,0.07,0.26,0.09699999999999999,0.076,0.7,0.154,0.22699999999999998
Wisconsin,5677100.0,0.1,0.011000000000000001,0.061,0.31,0.6729999999999999,0.051,0.095,0.218,0.055999999999999994,0.16,0.115,0.063,0.8109999999999999,0.145,0.113
Wyoming,562700.0,0.09699999999999999,0.018000000000000002,0.07200000000000001,0.307,0.647,0.035,0.091,0.23600000000000002,0.064,0.187,0.131,0.07400000000000001,0.765,0.27,0.126
